#---------------------------- KTU 1.103 1
152584	ḥrh	ḥrh(I)/	ḥr (I)	n.	intestine(s), entrail(s)	
152585	b	b;b(II)[;b/	b;/ʕ-r-b/ (II);lb	prep.;vb;n.	in; through, on; by, at; within, inside, in, to, against, between, upon; from; with, in; of, from among;to give a guarantee or pledge, stand surety for, leave a deposit;heart	ambiguous DULAT candidates: 6 (showing top 3)
152586	pith	pith/	pỉt	n.	temple	
152587	mlkn	mlkn(I)	mlk (I)		king, sovereign	
152588	yšlm	yšlm[	/š-l-m/	vb	to be well, do well, be in peace	
152589	libh	libh				DULAT: NOT FOUND
#---------------------------- KTU 1.103 55
152590	w	w	w	conj.	and	
152591	in	in/	ỉn	n.	lack of, absence	
152592	kbm	kbm(I)/;kbm(II)/	kb (I);kb (II)	adj.;n.	sewn, scalloped, stuffed;intestine(s), guts	
152593	bh	bh[;bh	/n-q-b/;b	vb;prep.	to pierce;in; through, on; by, at; within, inside, in, to, against, between, upon; from; with, in; of, from among	
152594	ḏrʿ	ḏrˤ				DULAT: NOT FOUND
152595	ḥwt	ḥwt/;ḥwt(I)[	ḥwt;/ḥ-w/y-y/ (I)	n.;vb	country, land, territory;to live, be alive	
152596	hyt	hyt				DULAT: NOT FOUND
152597	yḥsl	yḥsl[	/ḥ-s-l/	vb	to wipe out, destroy	
#---------------------------- KTU 1.103 56
152598	w	w	w	conj.	and	
152599	ʿql	ˤql				DULAT: NOT FOUND
152600	ilm	ilm(III)/;ilm(I)/	ảl (III);ỉl (I)	n.;n.	ram (of superior quality);god	
152601	tbʿrn	tbˤrn(II)[	/b-ʕ-r/ (II)	vb	to abandon, forsake; to leave	
152602	ḥwt	ḥwt/;ḥwt(I)[	ḥwt;/ḥ-w/y-y/ (I)	n.;vb	country, land, territory;to live, be alive	
152603	hyt	hyt				DULAT: NOT FOUND
#---------------------------- KTU 1.103 57
152604	w	w	w	conj.	and	
152605	ʿnhb	ˤnhb				DULAT: NOT FOUND
152606	lṣbh	lṣbh				DULAT: NOT FOUND
152607	mlkn	mlkn(I)	mlk (I)		king, sovereign	
152608	yʿzz	yˤzz[	/ʕ-z(-z)/	vb	to be strong, have power	
152609	ʿl	ˤl(I);ˤl(II);ˤl(III)/	ʕl (I);ʕl (II);ʕl (III)	prep.;adv.;n.	upon, on top of;above, on top;offspring	ambiguous DULAT candidates: 4 (showing top 3)
152610	ḫpṯh	ḫpṯh/	ḫpṯ	n.	fugitive, runaway	
#---------------------------- KTU 1.103 58
152611	w	w	w	conj.	and	
152612	ḥr	ḥr(I)/	ḥr (I)	n.	intestine(s), entrail(s)	
152613	w	w	w	conj.	and	
152614	šr	šr(I)[;šr(I)/;šr(II)/	/š-r/ (I);šr (I);šr (II)	vb;n.;n.	to sing;song;musician, singer	ambiguous DULAT candidates: 7 (showing top 3)
152615	bh	bh[;bh	/n-q-b/;b	vb;prep.	to pierce;in; through, on; by, at; within, inside, in, to, against, between, upon; from; with, in; of, from among	
152616	mlkn	mlkn(I)	mlk (I)		king, sovereign	
152617	ybʿr	ybˤr(I)[;ybˤr(II)[	/b-ʕ-r/ (I);/b-ʕ-r/ (II)	vb;vb	to ignite; to burn; scorch the earth;to abandon, forsake; to leave	
152618	ibh	ibh(I)/	ỉb (I)	n.	enemy	
